IdAlbum,Num,Titre,IdSerie,IdDessinateur,IdColoriste,IdScenariste,Editeur,Reference,Couverture,,Exlibris,NbPages,Planche,IdBEL,Exemplaires
452,2,Loup,133,207,207,206,Delcourt,978-2-7560-1903-1,Couv_115974.jpg,,Verso_115974.jpg,54,PlancheA_115974.jpg,115974,8
453,6,Ernest Latulippe,108,96,57,77,Casterman,978-2-203-02616-2,Couv_117401.jpg,,Verso_117401.jpg,68,PlancheA_117401.jpg,117401,3
454,3,Stigmates,129,197,253,252,Les Humanoïdes Associés,978-2-7316-1723-8,Couv_116124.jpg,,Verso_116124.jpg,46,PlancheA_116124.jpg,116124,1
455,1,Eauxfolles,150,254,254,254,Delcourt,2-84055-005-9,nefdesfous01_589.jpg,,nefdesfous01v_589.jpg,46,nefdesfous01p_589.jpg,589,2
456,2,Pluvior 627,150,254,254,254,Delcourt,2-84055-025-3,nefdesfous02_590.jpg,,nefdesfous02v_590.jpg,46,nefdesfous02p_590.jpg,590,4
457,3,Turbulences,150,254,254,254,Delcourt,2-84055-129-2,nefdesfous03_950.jpg,,nefdesfous03v_950.jpg,54,nefdesfous03p_950.jpg,950,5
458,4,Au turf,150,254,254,254,Delcourt,2-84055-456-9,nefdesfous04.jpg,,nefdesfous04v_2146.jpg,46,nefdesfous04p_2146.jpg,2146,2
459,5,Puzzle,150,254,254,254,Delcourt,2-84055-838-6,NefDesFousLa05.jpg,,nefdesfous05.jpg,46,nefdesfous05p.jpg,46331,2
460,6,Les Chemins énigmatiques,150,254,254,254,Delcourt,978-2-7560-0187-6,nefdesfous06.jpg,,nefdesfous06v.jpg,46,nefdesfous06p.jpg,60764,3
461,7,Terminus,150,254,254,254,Delcourt,978-2-7560-1069-4,nefdesfous07_82677.jpg,,nefdesfous07v_82677.jpg,46,nefdesfous07p_82677.jpg,82677,2
464,3,Honneur et Police,114,128,162,161,Glénat,978-2-7234-6873-2,Couv_94966.jpg,,Verso_94966.jpg,54,94966_pla.jpg,94966,3
465,4,"Aux armes, citoyens !",114,128,162,161,Glénat,978-2-7234-7716-1,Couv_115654.jpg,,Verso_115654.jpg,62,PlancheA_115654.jpg,115654,4
466,1,Home Sweet Home,151,257,257,256,Dargaud,978-2-87129-959-2,jazzmaynard01.jpg,,jazzmaynard01v.jpg,46,JazzMaynard1_62346.jpg,62346,5
467,2,Mélodie d'El Raval,151,257,257,256,Dargaud,978-2-505-00347-2,JazzMaynard2_18042008_174047.jpg,,JazzMaynard2_18042008_174047.jpg,46,AlbjazzMaynard2_18042008_174047.jpg,73704,6
468,3,Envers et contre tout,151,257,257,256,Dargaud,978-2-505-00509-4,JazzMaynard3_10012009_155254.jpg,,JazzMaynard3_10012009_155254.jpg,46,AlbjazzMaynard3_10012009_155254.jpg,82731,7
469,4,Sans espoir,151,257,257,256,Dargaud,978-2-505-00805-7,Couv_106462.jpg,,Verso_106462.jpg,46,106462_pla.jpg,106462,2
